Codi_municipi;Nom_municipi;Codi_comarca
25029;Arbeca;18
25033;Artesa de Lleida;33
25034;Artesa de Segre;23
25035;La Sentiu de Si¢;23
25037;Les Avellanes i Santa Linya;23
25038;Aitona;33
25040;Balaguer;23
25240;Vallfogona de Balaguer;23
25041;Barbens;27
25046;Belianes;38
25047;Bellcaire d'Urgell;23
25048;Bell-lloc d'Urgell;27
25049;Bellmunt d'Urgell;23
25050;Bellpuig;38
25051;Bellver de Cerdanya;15
25052;Bellv¡s;27
25053;Benavent de Segri…;33
25056;Bovera;18
25057;Es B•rdes;39
25058;Les Borges Blanques;18
25059;Boss•st;39
25062;Camarasa;23
25203;La Seu d'Urgell;4
25067;Castelldans;18
25068;Castellnou de Seana;27
25069;Castell¢ de Farfanya;23
25070;Castellser…;38
25072;Cervera;32
25073;Cervi… de les Garrigues;18
25074;Ciutadilla;38
25077;Coll de Narg¢;4
25078;Corbins;33
25079;Cubells;23
25081;L'Espluga Calba;18
25086;Esterri d'·neu;26
25093;Fondarella;27
25096;La Fuliola;38
25099;Golm‚s;27
25100;G¢sol;14
25101;La Granadella;18
25102;La Granja d'Escarp;33
25109;Guimer…;38
25110;Guissona;32
25112;Ivars de Noguera;23
25113;Ivars d'Urgell;27
25115;Isona i Conca Dell…;25
25118;Juncosa;18
25119;Juneda;18
25120;Lleida;33
25121;Les;39
25122;Linyola;27
25124;Lladurs;35
25125;Llardecans;33
25126;Llavors¡;26
25127;Lles de Cerdanya;15
25129;Llobera;35
25131;Massalcoreig;33
25133;Maials;33
25134;Men…rguens;23
25135;Miralcamp;27
25137;Mollerussa;27
25138;Montgai;23
25139;Montell… i Martinet;15
25140;Montferrer i Castellb•;4
25142;Montoliu de Lleida;33
25146;NavŠs;35
25155;Organy…;4
25156;Os de Balaguer;23
25158;El Palau d'Anglesola;27
25911;Els Plans de Si¢;32
25163;La Coma i la Pedra;35
25164;Penelles;23
25165;Peramola;4
25166;Pinell de SolsonŠs;35
25168;El Poal;27
25170;Bellaguarda;18
25171;La Pobla de Segur;25
25172;Ponts;23
25173;El Pont de Suert;5
25174;La Portella;33
25176;Preixana;38
25177;Preixens;23
25179;Prullans;15
25181;Puigverd d'Agramunt;38
25182;Puigverd de Lleida;33
25183;Rialp;26
25901;Vall de Card¢s;26
25185;Ribera d'Urgellet;4
25186;Riner;35
25189;Rossell¢;33
25191;Sanaja;32
25192;Sant Guim de Freixenet;32
25194;Sant Ramon;32
25905;Ribera d'Ondara;32
25902;Sant Mart¡ de Riucorb;38
25200;Sarroca de Lleida;33
25204;Ser•s;33
25205;Sidamon;27
25206;El Soler…s;18
25207;Solsona;35
25151;Olius;35
25210;Soses;33
25211;Sudanell;33
25212;Sunyer;33
25217;T…rrega;38
25220;T‚rmens;23
25221;T¡rvia;26
25223;Tor…;35
25225;Tornabous;38
25226;Torrebesses;33
25228;Torrefarrera;33
25230;Torregrossa;27
25232;Torres de Segre;33
25233;Torre-serona;33
25234;Tremp;25
25215;Talarn;25
25910;Josa i Tuix‚n;4
25242;Verd£;38
25243;Vielha e Mijaran;39
25244;Vilagrassa;38
25245;Vilaller;5
25248;Vilanova de Bellpuig;27
25250;Vilanova de Mei…;23
25251;Vilanova de Segri…;33
25252;Vila-sana;27
25254;Vilanova de la Barca;33
25255;Vinaixa;18
25016;Alguaire;33
25209;Sort;26
25130;Mald…;38
25180;Puiggr•s;18
25175;Prats i Sansor;15
25167;Pin¢s;35
25021;Almenar;33
25227;La Torre de Cabdella;25
25043;La Vall de Bo¡;5
25231;Torrelameu;23
25149;Oliana;4
25193;Sant Lloren‡ de Morunys;35
25190;Tor…;32
43001;Sal…s de Pallars;25
43004;Aiguam£rcia;1
43005;Alcanar;22
43007;Alcover;1
43009;L'Aleixar;8
43010;Alforja;8
43012;Ali¢;1
43013;Altafulla;36
43014;L'Ametlla de Mar;9
43016;Amposta;22
43018;L'Arbo‡;12
43019;Arnes;37
43021;Asc¢;30
43023;Barber… de la Conca;16
43024;Bellmunt del Priorat;29
43025;Bellvei;12
43026;Benifallet;9
43028;Benissanet;30
43029;La Bisbal del PenedŠs;12
43030;Blancafort;16
43031;Bonastre;12
43032;Les Borges del Camp;8
43033;Bot;37
43034;Botarell;8
43035;Br…fim;1
43036;Cabac‚s;29
43037;Cabra del Camp;1
43038;Calafell;12
43040;Cambrils;8
43041;Cap‡anes;29
43044;Caseres;37
43047;La S‚nia;22
43048;Constant¡;36
43051;Corbera d'Ebre;37
43052;Cunit;12
43054;Xerta;9
43055;L'Espluga de Francol¡;16
43056;Falset;29
43059;La Fatarella;37
43060;Figuerola del Camp;1
43064;Flix;30
43067;Gandesa;37
43069;Ginestar;30
43070;Gratallops;29
43071;Els Guiamets;29
43074;Horta de Sant Joan;37
43076;Lloren‡ del PenedŠs;12
43077;Mar‡…;29
43078;Mas de Barberans;22
43080;Masdenverge;22
43082;La Mas¢;1
43086;El Masroig;29
43088;Montblanc;16
43090;Montbri¢ del Camp;8
43092;El Montmell;12
43093;Mont-roig del Camp;8
43095;M¢ra d'Ebre;30
43098;El Morell;36
43100;Nulles;1
43102;Els Pallaresos;36
43106;Pals;9
43107;El Pinell de Brai;37
43108;Pira;16
43110;El Pla de Santa Maria;1
43112;La Pobla de Massaluca;37
43117;Poboleda;29
43119;Prat de Comte;37
43123;Puigpelat;1
43125;Reus;8
43129;Riba-roja d'Ebre;30
43131;Riudoms;8
43133;Roda de Ber…;36
43136;Roquetes;9
43138;La R…pita;22
43139;Santa B…rbara;22
43142;Santa Coloma de Queralt;16
43144;Sarral;16
43145;La Secuita;36
43147;La Selva del Camp;8
43148;Solivella;16
43907;Tarragona;36
43149;La Canonja;36
43150;Tivenys;9
43153;Tivissa;30
43155;Torredembarra;36
43903;Tortosa;9
43901;Camarles;9
43904;Deltebre;9
43902;L'Aldea;9
43156;Sant Jaume d'Enveja;22
43157;Ulldecona;22
43160;Ulldemolins;29
43161;Vallmoll;1
43162;Valls;1
43163;Vandell•s i l'Hospitalet de l'Infant;8
43166;El Vendrell;12
43167;Vilallonga del Camp;36
43170;Vilanova d'Escornalbou;8
43905;Vila-rodona;1
43171;Salou;36
43172;Vila-seca;36
43176;Vilaverd;16
43177;Vimbod¡ i Poblet;16
43178;Vinebre;30
43020;Vinyols i els Arcs;8
43111;Banyeres del PenedŠs;12
43126;La Pobla de MontornŠs;36
43906;La Riera de Gai…;36
43002;L'Ampolla;9
43006;Albinyana;12
43008;Aldover;9
43011;Alfara de Carles;9
43027;Almoster;8
43042;La Bisbal de Falset;29
43050;Castellvell del Camp;8
43053;Creixell;36
43062;Duesaiges;8
43063;Freginals;22
43065;La Galera;22
43068;Garcia;30
43079;Godall;22
43084;Maslloren‡;12
43085;Miravet;30
43097;El Molar;29
43099;La Nou de Gai…;36
43109;La Palma d'Ebre;30
43113;La Pobla de Mafumet;36
43114;El Pont d'Armentera;1
43116;Porrera;29
43118;Prades;8
43121;Pratdip;8
43124;Rasquera;30
43127;La Riba;1
43128;Riudecanyes;8
43132;Riudecols;8
43137;Rodony…;1
43140;Sant Jaume dels Domenys;12
43152;Santa Oliva;12
43165;La Torre de l'Espanyol;30
43175;Vilabella;1
43135;Vilalba dels Arcs;37
43130;Salom¢;36
43103;Rocafort de Queralt;16
43094;Perafort;36
43081;M¢ra la Nova;30
43043;Maspujols;8
43169;El Catllar;36
43174;Vilaplana;8
43022;La Vilella Baixa;29
43104;Batea;37
43049;El Perell¢;9
43083;Cornudella de Montsant;29
43091;El Mil…;1
;Mont-ral;1
